prc,logVs30mid,logVs30scl,r1,r2,r3,s2,sigma_vel
0.01,6.2944599,0.36820498,-2.4575701,3.3710669,0.0064192922,5.3007295999999995,0.36570599
0.02,6.316479800000001,0.37543498000000003,-2.4399303999999997,3.5831448,0.012910752000000001,5.4749198,0.366853
0.03,6.3304997,0.38008597,-2.4287603,3.7228982,0.019593573,5.5898291,0.367597
0.04,6.3409996,0.383659,-2.4203004,3.8285780000000003,0.0262017,5.6769196,0.368159
0.05,6.34981,0.38655095,-2.4132305,3.91552,0.03320731,5.747409500000001,0.368624
0.060000000000000005,6.35726,0.38902694,-2.40739,3.9899482,0.040184258,5.8100594,0.36902
0.06999999999999999,6.3638593,0.39126492999999996,-2.4022007000000003,4.05668,0.046984873999999996,5.86557,0.369365
0.08,6.36981,0.39326592,-2.39755,4.11702,0.053926536000000004,5.915702,0.369682
0.09,6.37529,0.39508591,-2.39318,4.1707891,0.060862933,5.9625291,0.369969
0.09999999999999999,6.3803,0.3967709,-2.38916,4.221023,0.06791983,6.0062560000000005,0.370228
0.11,6.38508,0.398313,-2.38529,4.2686489000000005,0.075158949,6.0475578,0.37047
0.12,6.38955,0.39979876000000003,-2.38183,4.3122888,0.081871016,6.0851376,0.370695
0.13,6.39382,0.401213,-2.37841,4.3526787,0.088991948,6.1238287,0.370914
0.14,6.39775,0.40255286,-2.37526,4.3935372,0.096154172,6.1575086,0.371119
0.15000000000000002,6.40163,0.40381685,-2.37224,4.43222,0.10347285,6.1918785000000005,0.371317
0.16,6.40542,0.40503968,-2.36927,4.4690284,0.11068636000000001,6.22467,0.371506
0.17,6.409028299999999,0.406186,-2.36645,4.50499,0.118032,6.25494,0.371681
0.18000000000000002,6.41253,0.407356,-2.36381,4.54021,0.12541828000000005,6.2852582,0.371852
0.19,6.41595,0.408483,-2.36119,4.5735524,0.13308043,6.3159481,0.37202
0.2,6.41927,0.4095678,-2.35868,4.60569,0.14044600000000002,6.34568,0.372183
0.21000000000000002,6.42245,0.4106013700000001,-2.35622,4.6367637,0.148099,6.3743279,0.37234
0.22,6.42561,0.411596,-2.35388,4.6671056,0.15551978,6.40299,0.372495
0.23,6.42872,0.412588,-2.35156,4.6981977,0.16311908,6.429395400000001,0.372641
0.24000000000000002,6.43167,0.41354476,-2.3493,4.726507600000001,0.170675,6.45604,0.372782
0.25,6.43469,0.41449,-2.34708,4.7552975,0.17816374999999998,6.48201,0.372922
0.26,6.43754,0.415447,-2.34487,4.7835374,0.18594074,6.50789,0.373059
0.27,6.4404073,0.41636273,-2.34276,4.81078,0.19388638000000005,6.5328573,0.3732
0.28,6.44319,0.417289,-2.34067,4.8381916,0.20167888,6.55749,0.373331
0.29000000000000004,6.44588,0.418183,-2.33855,4.8652071,0.20933142,6.58219,0.373463
0.3,6.44863,0.419095,-2.336473,4.891727,0.217024,6.606207,0.373592
0.31,6.45131,0.41995869,-2.3344530999999997,4.91755,0.22514466000000002,6.63068,0.373717
0.32,6.4539568,0.420806,-2.33247,4.9435436,0.23344168,6.65461,0.373845
0.33,6.45652,0.421685,-2.33051,4.9702667,0.24154201,6.6782434,0.37397
0.34,6.45913,0.42252866,-2.32853,4.99528,0.2498793,6.702056600000001,0.374093
0.35000000000000003,6.46174,0.423366,-2.32654,5.02106,0.2580783,6.72565,0.374214
0.36000000000000004,6.46432,0.424216,-2.3246,5.04605,0.2663074800000002,6.748739200000001,0.374337
0.37,6.46684,0.42506763,-2.32269,5.07097,0.27477089000000005,6.771736300000001,0.374461
0.38,6.46936,0.425896,-2.32083,5.0953762,0.28337009999999996,6.79539,0.374578
0.39,6.47173,0.426722,-2.31892,5.11966,0.291845,6.817876099999999,0.374693
0.4,6.47421,0.427571,-2.31703,5.144658,0.30010060000000005,6.841106,0.374811
0.41000000000000003,6.47668,0.42837358999999997,-2.31515,5.16958,0.308671,6.8640759000000005,0.374925
0.42000000000000004,6.47909,0.429171,-2.31329,5.1943274000000015,0.31751964000000027,6.88716,0.37504
0.43,6.48149,0.429961,-2.31144,5.21875,0.32624014,6.91059,0.375156
0.44,6.48394,0.430754,-2.30956,5.24307,0.33516468,6.9332612000000005,0.375269
0.45,6.4864,0.431537,-2.30769,5.26763,0.34400820000000004,6.95578,0.375384
0.46,6.48889,0.432335,-2.30585,5.29152,0.35320170000000006,6.97881,0.375496
0.47000000000000003,6.49134,0.433134,-2.30403,5.3167112,0.36208806,7.0019,0.375607
0.48000000000000004,6.49381,0.433927,-2.30219,5.3409352000000005,0.37127156000000006,7.0251352,0.375718
0.49,6.4963,0.434713,-2.30035,5.36588,0.380482,7.0481602,0.375833
0.5,6.49879,0.435501,-2.29844,5.390775,0.389704,7.07134,0.375946
0.51,6.5013,0.43627,-2.2966,5.4161049,0.39884598,7.094959599999999,0.376056
0.52,6.50376,0.43709648,-2.29473,5.44157,0.40839048,7.11899,0.376172
0.53,6.50622,0.437876,-2.29288,5.4663647,0.41801347,7.14276,0.376286
0.54,6.5088,0.438693,-2.29101,5.4911646,0.42765146000000004,7.1674946,0.376403
0.55,6.51133,0.439513,-2.28919,5.5162745,0.437395,7.1924145,0.376519
0.56,6.51396,0.440311,-2.28727,5.54054,0.44715032,7.2167731999999996,0.37663
0.5700000000000001,6.5164,0.44113743,-2.28538,5.5667843,0.45702401000000015,7.2415343,0.376748
0.5800000000000001,6.51898,0.441925,-2.28351,5.59367,0.46722310000000006,7.2659742000000005,0.376861
0.59,6.52155,0.442744,-2.28156,5.6198923,0.47692564000000004,7.29085,0.376981
0.6,6.52417,0.443559,-2.27964,5.645888,0.4869418,7.31651,0.377095
0.61,6.52684,0.444419,-2.27769,5.67255,0.49708738999999996,7.3416239,0.377213
0.62,6.52957,0.445261,-2.27566,5.69957,0.5073786000000001,7.3673076,0.37733
0.63,6.53225,0.44611737,-2.27369,5.7267337,0.51785411,7.3944437,0.377451
0.64,6.5350036000000005,0.44701,-2.2717,5.7541736000000006,0.5283574400000001,7.42045,0.37757
0.65,6.53785,0.44789835,-2.26967,5.78216,0.53919505,7.44663,0.377693
0.66,6.54077,0.44878834,-2.2677,5.8101968,0.54979434,7.4740034,0.377816
0.67,6.54357,0.449679,-2.26563,5.8395,0.5605059900000001,7.5019299,0.377939
0.68,6.54647,0.450583,-2.26349,5.8689732,0.57162764,7.52976,0.378067
0.6900000000000001,6.54944,0.45151,-2.26128,5.89911,0.58266324,7.55786,0.378198
0.7000000000000001,6.552353,0.45246,-2.25915,5.92974,0.5933003,7.586856,0.378331
0.7100000000000001,6.55543,0.453431,-2.25688,5.9605,0.6043852900000001,7.61698,0.378463
0.72,6.5586,0.454443,-2.25461,5.9922028,0.61595752,7.64856,0.378597
0.73,6.56178,0.455444,-2.25233,6.0246053999999996,0.62722608,7.67948,0.378731
0.74,6.56499,0.45649,-2.24998,6.0573726,0.6390172599999999,7.71186,0.378873
0.75,6.56835,0.457497,-2.2476,6.09191,0.6507645,7.7456,0.379013
0.76,6.57178,0.458591,-2.24514,6.126322399999999,0.66262424,7.7795423999999995,0.379156
0.77,6.5752423,0.459683,-2.24258,6.16212,0.67463092,7.81412,0.379305
0.78,6.57879,0.460811,-2.24002,6.1991722,0.6870586599999999,7.8508644,0.379459
0.79,6.58251,0.46197221,-2.2373578999999997,6.238052100000001,0.69964563,7.8907021,0.379612
0.8,6.58623,0.463158,-2.2347,6.278142,0.7119144000000001,7.929462,0.379779
0.81,6.59025,0.464364,-2.23181,6.3202038,0.7245393800000001,7.9694119,0.37994519
0.8200000000000001,6.59439,0.46566318,-2.22882,6.3632354,0.73750908,8.01038,0.380126
0.8300000000000001,6.5985517,0.466988,-2.2257,6.4080051,0.7504313399999999,8.05512,0.380303
0.8400000000000001,6.602941600000001,0.468353,-2.22248,6.45456,0.7632663200000002,8.1007016,0.380491
0.85,6.60756,0.469791,-2.21913,6.503803,0.77646015,8.149421499999999,0.380683
0.86,6.61249,0.47127014,-2.21575,6.554256999999999,0.789841,8.2002428,0.380887
0.87,6.6176,0.47289913,-2.21209,6.6086,0.8030629100000001,8.25362,0.381107
0.88,6.6229911999999995,0.474595,-2.2081188000000003,6.6645824,0.81672636,8.3118024,0.38133511999999997
0.89,6.62881,0.47644,-2.20384,6.72743,0.83120244,8.371683299999999,0.381579
0.9,6.63492,0.4784611000000001,-2.199519,6.79595,0.8454407000000006,8.439622,0.381837
0.91,6.6416709,0.480544,-2.19477,6.868648100000002,0.85994009,8.511853600000002,0.38211009
0.92,6.648970800000001,0.48280208,-2.18959,6.948240800000001,0.8749583200000001,8.5943108,0.382398
0.93,6.65691,0.4853,-2.1836993,7.0356707,0.8896571400000001,8.684330699999999,0.382724
0.9400000000000001,6.66628,0.48816906,-2.17729,7.1391724,0.90466448,8.7832136,0.383095
0.9500000000000001,6.6769,0.491476,-2.16992,7.256270499999999,0.9200730500000001,8.904722,0.383504
0.9600000000000001,6.68956,0.495319,-2.16104,7.3943,0.9362412000000002,9.0462424,0.383998
0.97,6.705690599999999,0.500056,-2.1499997000000004,7.564372399999998,0.95159409,9.2211003,0.38461
0.98,6.7273006,0.506537,-2.1355798,7.80399,0.9675150400000001,9.463414200000004,0.385432
